,location,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,Name_2010,lat,lng
124,"American Fork, UT",0.0,0.0,2732.0,2797.0,2763.0,3047.0,3333.0,5126.0,6373.0,7713.0,12564.0,15696.0,21941.0,26263.0,American Fork city,40.376895399999995,-111.7957645
125,"Americus, GA",3635.0,6398.0,7674.0,8063.0,9010.0,8760.0,9281.0,11389.0,13472.0,16091.0,16120.0,16512.0,17013.0,17041.0,Americus city,32.0723862,-84.23268759999999
126,"Amery, WI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2657.0,2845.0,2902.0,Amery city,45.3069062,-92.36213690000001
127,"Ames, IA",0.0,0.0,1300.0,4223.0,6270.0,10261.0,12555.0,22898.0,27003.0,39505.0,45775.0,47198.0,50731.0,58965.0,Ames city,42.0347081,-93.6199402
128,"Amesbury, MA",0.0,9798.0,9473.0,9894.0,10036.0,11899.0,10862.0,10851.0,10787.0,11388.0,13971.0,14997.0,16450.0,16283.0,Amesbury Town city,42.8584235,-70.9300548
129,"Amherst, MA",4298.0,4512.0,5028.0,5112.0,5550.0,5888.0,6410.0,0.0,13700.0,26300.0,0.0,35200.0,34900.0,0.0,Amherst town,42.375367700000005,-72.519254
130,"Amherst, OH",0.0,0.0,0.0,0.0,0.0,2844.0,2896.0,3542.0,6750.0,9902.0,10638.0,10332.0,11797.0,12021.0,Amherst city,41.3978217,-82.22237750000001
131,"Amite, LA",0.0,0.0,0.0,0.0,0.0,2536.0,0.0,2804.0,3316.0,3593.0,4301.0,4236.0,4110.0,4141.0,Amite City town,30.726574699999997,-90.50898149999999
132,"Amityville, NY",0.0,0.0,0.0,2517.0,3265.0,4437.0,5058.0,6164.0,8318.0,9794.0,9076.0,9286.0,9441.0,9523.0,Amityville village,40.6789893,-73.4170673
133,"Ammon, ID",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4669.0,5002.0,6187.0,13816.0,Ammon city,43.4696366,-111.9666355
134,"Amory, MS",0.0,0.0,0.0,0.0,2861.0,3214.0,3727.0,4990.0,6474.0,7236.0,7307.0,7093.0,6956.0,7316.0,Amory city,33.984276799999996,-88.488099
135,"Amsterdam, NY",9466.0,17336.0,20929.0,31267.0,33524.0,34817.0,33329.0,32240.0,28772.0,25524.0,21872.0,20714.0,18355.0,18620.0,Amsterdam city,42.9386856,-74.1881858
136,"Anaconda, MT",0.0,3975.0,9453.0,10134.0,11668.0,12494.0,11004.0,11254.0,12054.0,9771.0,12518.0,10278.0,9417.0,9298.0,Anaconda-Deer Lodge County,46.1285369,-112.94226409999999
137,"Anacortes, WA",0.0,0.0,0.0,4168.0,5284.0,6564.0,5875.0,6919.0,8414.0,7701.0,9013.0,11451.0,14557.0,15778.0,Anacortes city,48.5126045,-122.61267179999999
138,"Anadarko, OK",0.0,0.0,0.0,3439.0,3116.0,5036.0,5579.0,6184.0,6299.0,6682.0,6378.0,6586.0,6645.0,6762.0,Anadarko city,35.0765094006,-98.2674456885
139,"Anaheim, CA",833.0,1273.0,1456.0,2628.0,5526.0,10995.0,11031.0,14556.0,104184.0,166408.0,219494.0,266406.0,328014.0,336265.0,Anaheim city,33.8352932,-117.91450359999999
140,"Anamosa, IA",0.0,0.0,2891.0,2983.0,2881.0,3579.0,4069.0,3910.0,4616.0,4389.0,4958.0,5100.0,5494.0,5533.0,Anamosa city,42.10833710000001,-91.2851594
141,"Anchorage, AK",0.0,0.0,0.0,0.0,1900.0,2300.0,3495.0,11254.0,44237.0,48081.0,174431.0,226338.0,260283.0,291826.0,Anchorage municipality,61.2180556,-149.90027780000003
142,"Andalusia, AL",0.0,0.0,0.0,0.0,4023.0,5154.0,6886.0,9162.0,10263.0,10092.0,10415.0,9269.0,8794.0,9015.0,Andalusia city,31.308503899999998,-86.48329129999999
